name,position,overall rating,club,country,defending rating,def_awareness_rating,interceptions,url,comp
Diego Valdés,CAM,73,América,Chile,53,50,59,https://www.futbin.com/22/player/22709/diego-valdes,FIFA Men's World Cup
Emanuel Aguilera,CB,73,Atlas,Argentina,76,77,75,https://www.futbin.com/22/player/22730/emanuel-aguilera,FIFA Men's World Cup
Federico Mancuello,CM,73,Toluca,Argentina,57,53,65,https://www.futbin.com/22/player/22753/federico-mancuello,FIFA Men's World Cup
Leonardo Fernández,CAM,73,Toluca,Uruguay,41,43,31,https://www.futbin.com/22/player/22754/leonardo-fernandez,FIFA Men's World Cup
Daniel Álvarez,LM,73,Toluca,Mexico,32,35,31,https://www.futbin.com/22/player/23669/daniel-alvarez,FIFA Men's World Cup
Federico Mancuello,CM,73,Puebla,Argentina,57,53,65,https://www.futbin.com/22/player/23796/federico-mancuello,FIFA Men's World Cup
Jhon Murillo,RW,73,Atlético de San Luis,Venezuela,36,46,41,https://www.futbin.com/22/player/23804/jhon-murillo,FIFA Men's World Cup
Igor Lichnovsky,CB,73,Tigres,Chile,75,75,74,https://www.futbin.com/22/player/24044/igor-lichnovsky,FIFA Men's World Cup
Juan Ferney Otero,RM,73,América,Colombia,31,21,35,https://www.futbin.com/22/player/24063/juan-ferney-otero,FIFA Men's World Cup
Oscar Ustari,GK,72,Pachuca,Argentina,21,29,28,https://www.futbin.com/22/player/1334/oscar-ustari,FIFA Men's World Cup
Jorge Torres Nilo,CB,72,Toluca,Mexico,68,64,67,https://www.futbin.com/22/player/1336/jorge-torres-nilo,FIFA Men's World Cup
Brayan Angulo,LB,72,Tijuana,Colombia,69,71,69,https://www.futbin.com/22/player/1823/brayan-angulo,FIFA Men's World Cup
Marco Fabián,CAM,72,FC Juárez,Mexico,34,20,34,https://www.futbin.com/22/player/1936/marco-fabian,FIFA Men's World Cup
Luis Fuentes,LB,72,América,Mexico,71,72,72,https://www.futbin.com/22/player/2011/luis-fuentes,FIFA Men's World Cup
Hugo Rodríguez,CB,72,Santos Laguna,Mexico,72,74,71,https://www.futbin.com/22/player/2015/hugo-rodriguez,FIFA Men's World Cup
Jesús Sánchez,RB,72,Guadalajara,Mexico,68,69,66,https://www.futbin.com/22/player/2984/jesus-sanchez,FIFA Men's World Cup
Ángel Sepúlveda,ST,72,Necaxa,Mexico,42,30,48,https://www.futbin.com/22/player/3006/angel-sepulveda,FIFA Men's World Cup
Yoshimar Yotún,CM,72,Cruz Azul,Peru,66,72,69,https://www.futbin.com/22/player/3651/yoshimar-yotun,FIFA Men's World Cup
Rafael Baca,CM,72,Cruz Azul,Mexico,61,43,73,https://www.futbin.com/22/player/3681/rafael-baca,FIFA Men's World Cup
Arturo González,CM,72,Rayados,Mexico,64,59,65,https://www.futbin.com/22/player/4033/arturo-gonzalez,FIFA Men's World Cup
Fernando Aristeguieta,ST,72,Puebla,Venezuela,42,35,32,https://www.futbin.com/22/player/4699/fernando-aristeguieta,FIFA Men's World Cup
Aldo Rocha,CM,72,Atlas,Mexico,69,74,72,https://www.futbin.com/22/player/4874/aldo-rocha,FIFA Men's World Cup
Claudio Baeza,CDM,72,Toluca,Chile,68,62,71,https://www.futbin.com/22/player/4950/claudio-baeza,FIFA Men's World Cup
Javier Abella,RB,72,Atlas,Mexico,67,65,69,https://www.futbin.com/22/player/5342/javier-abella,FIFA Men's World Cup
Cristian Ortiz,CF,72,Tijuana,Argentina,42,44,58,https://www.futbin.com/22/player/6084/cristian-ortiz,FIFA Men's World Cup
Raúl Gudiño,GK,72,Guadalajara,Mexico,18,19,21,https://www.futbin.com/22/player/6692/raul-gudino,FIFA Men's World Cup
Mauro Lainez,LM,72,América,Mexico,54,52,59,https://www.futbin.com/22/player/6760/mauro-lainez,FIFA Men's World Cup
Christian Tabó,RM,72,Puebla,Uruguay,31,24,31,https://www.futbin.com/22/player/7141/christian-tabo,FIFA Men's World Cup
Nicolás Benedetti,CAM,72,América,Colombia,45,46,41,https://www.futbin.com/22/player/7240/nicolas-benedetti,FIFA Men's World Cup
Alexis Vega,ST,72,Guadalajara,Mexico,30,44,16,https://www.futbin.com/22/player/7958/alexis-vega,FIFA Men's World Cup
Germán Berterame,LM,72,Atlético de San Luis,Argentina,33,44,26,https://www.futbin.com/22/player/8810/german-berterame,FIFA Men's World Cup
Aldo Cruz,LB,72,Tigres,Mexico,69,69,70,https://www.futbin.com/22/player/9877/aldo-cruz,FIFA Men's World Cup
Braian Samudio,LM,72,Toluca,Paraguay,38,37,39,https://www.futbin.com/22/player/10633/braian-samudio,FIFA Men's World Cup
Marcel Ruiz,CM,72,Tijuana,Mexico,56,49,59,https://www.futbin.com/22/player/10724/marcel-ruiz,FIFA Men's World Cup
Julio González,RB,72,Necaxa,Paraguay,70,69,71,https://www.futbin.com/22/player/10750/julio-gonzalez,FIFA Men's World Cup
Facundo Waller,LM,72,Atlético de San Luis,Uruguay,64,66,66,https://www.futbin.com/22/player/12491/facundo-waller,FIFA Men's World Cup
Christian Tabó,RM,72,Cruz Azul,Uruguay,31,24,31,https://www.futbin.com/22/player/22703/christian-tabo,FIFA Men's World Cup
Nicolás Benedetti,CAM,72,Mazatlán FC,Colombia,45,46,41,https://www.futbin.com/22/player/22759/nicolas-benedetti,FIFA Men's World Cup
Ángel Sepúlveda,ST,72,Querétaro,Mexico,42,30,48,https://www.futbin.com/22/player/23248/angel-sepulveda,FIFA Men's World Cup
Marcos Mauro López,CB,72,FC Juárez,Argentina,73,73,68,https://www.futbin.com/22/player/23663/marcos-mauro-lopez,FIFA Men's World Cup
Marco Fabián,CAM,72,Mazatlán FC,Mexico,34,20,34,https://www.futbin.com/22/player/23676/marco-fabian,FIFA Men's World Cup
Jorge Meré Pérez,CB,72,América,Spain,73,72,74,https://www.futbin.com/22/player/23941/jorge-mere-perez,FIFA Men's World Cup
Nicolás Freire,CB,71,Pumas,Argentina,73,70,69,https://www.futbin.com/22/player/661/nicolas-freire,FIFA Men's World Cup
Felipe Rodríguez,GK,71,FC Juárez,Mexico,18,20,14,https://www.futbin.com/22/player/1559/felipe-rodriguez,FIFA Men's World Cup
José Joaquín Martínez,RB,71,Cruz Azul,Mexico,64,65,63,https://www.futbin.com/22/player/1627/jose-joaquin-martinez,FIFA Men's World Cup
Miguel Ponce,LB,71,Guadalajara,Mexico,67,68,70,https://www.futbin.com/22/player/2005/miguel-ponce,FIFA Men's World Cup
Antonio Briseño,CB,71,Guadalajara,Mexico,70,68,67,https://www.futbin.com/22/player/2402/antonio-briseno,FIFA Men's World Cup
Antony Silva,GK,71,Puebla,Paraguay,16,15,17,https://www.futbin.com/22/player/4966/antony-silva,FIFA Men's World Cup
Emmanuel García,LB,71,Atlético de San Luis,Mexico,67,65,79,https://www.futbin.com/22/player/5245/emmanuel-garcia,FIFA Men's World Cup
Javier Güemez,CDM,71,Atlético de San Luis,Mexico,68,66,68,https://www.futbin.com/22/player/5286/javier-guemez,FIFA Men's World Cup
Mauro Manotas,ST,71,Tijuana,Colombia,33,29,27,https://www.futbin.com/22/player/5978/mauro-manotas,FIFA Men's World Cup
Andrés Ibargüen,LM,71,Santos Laguna,Colombia,36,51,34,https://www.futbin.com/22/player/6504/andres-ibarguen,FIFA Men's World Cup
Unai Bilbao Arteta,CB,71,Atlético de San Luis,Spain,72,70,72,https://www.futbin.com/22/player/7179/unai-bilbao-arteta,FIFA Men's World Cup
Fabricio Formiliano,CB,71,Necaxa,Uruguay,69,71,60,https://www.futbin.com/22/player/7769/fabricio-formiliano,FIFA Men's World Cup
Franco Troyansky,ST,71,Atlas,Argentina,35,37,33,https://www.futbin.com/22/player/7904/franco-troyansky,FIFA Men's World Cup
Miguel Barbieri,CB,71,Toluca,Argentina,70,69,69,https://www.futbin.com/22/player/7969/miguel-barbieri,FIFA Men's World Cup
Jesús Angulo,LM,71,Guadalajara,Mexico,46,34,48,https://www.futbin.com/22/player/8031/jesus-angulo,FIFA Men's World Cup
Joaquín Esquivel,CDM,71,FC Juárez,Mexico,70,72,72,https://www.futbin.com/22/player/8343/joaquin-esquivel,FIFA Men's World Cup
Nicolás Ibáñez,ST,71,Pachuca,Argentina,34,45,18,https://www.futbin.com/22/player/8566/nicolas-ibanez,FIFA Men's World Cup
Alejandro Mayorga,LB,71,Guadalajara,Mexico,67,70,70,https://www.futbin.com/22/player/9234/alejandro-mayorga,FIFA Men's World Cup
Alan Cervantes,CDM,71,Santos Laguna,Mexico,67,67,69,https://www.futbin.com/22/player/9349/alan-cervantes,FIFA Men's World Cup
Kevin Ramírez,LM,71,Querétaro,Uruguay,32,27,33,https://www.futbin.com/22/player/10035/kevin-ramirez,FIFA Men's World Cup
Álvaro Fidalgo Fernández,LM,71,América,Spain,49,46,55,https://www.futbin.com/22/player/11097/fidalgo,FIFA Men's World Cup
Pablo González,CM,71,Toluca,Mexico,64,62,65,https://www.futbin.com/22/player/14313/pablo-gonzalez,FIFA Men's World Cup
Marcelo Barovero,GK,71,Atlético de San Luis,Argentina,16,19,16,https://www.futbin.com/22/player/17455/marcelo-barovero,FIFA Men's World Cup
Paul Aguilar,RB,71,FC Juárez,Mexico,66,65,70,https://www.futbin.com/22/player/17479/paul-aguilar,FIFA Men's World Cup
Osvaldo Martínez,CAM,71,Querétaro,Paraguay,58,57,60,https://www.futbin.com/22/player/17552/osvaldo-martinez,FIFA Men's World Cup
Pablo González,CM,71,Atlas,Mexico,64,62,65,https://www.futbin.com/22/player/21642/pablo-gonzalez,FIFA Men's World Cup
Alejandro Mayorga,LB,71,Cruz Azul,Mexico,67,70,70,https://www.futbin.com/22/player/22704/alejandro-mayorga,FIFA Men's World Cup
Leonardo Ramos,ST,71,León,Argentina,32,40,21,https://www.futbin.com/22/player/22706/leonardo-ramos,FIFA Men's World Cup
Kevin Ramírez,LM,71,Puebla,Uruguay,32,27,33,https://www.futbin.com/22/player/22813/kevin-ramirez,FIFA Men's World Cup
Luis Fernando León,CB,71,Atlético de San Luis,Ecuador,71,70,69,https://www.futbin.com/22/player/22817/luis-fernando-leon,FIFA Men's World Cup
Alejandro Arribas Garrido,CB,71,FC Juárez,Spain,71,71,72,https://www.futbin.com/22/player/23135/arribas,FIFA Men's World Cup
Gabriel Torres,ST,70,Pumas,Panama,32,27,35,https://www.futbin.com/22/player/659/gabriel-torres,FIFA Men's World Cup
Favio Álvarez,CAM,70,Pumas,Argentina,31,29,34,https://www.futbin.com/22/player/663/favio-alvarez,FIFA Men's World Cup
Pablo Barrera,RM,70,Querétaro,Mexico,44,34,48,https://www.futbin.com/22/player/1461/pablo-barrera,FIFA Men's World Cup
Jefferson Montero,LM,70,Querétaro,Ecuador,29,19,25,https://www.futbin.com/22/player/1981/jefferson-montero,FIFA Men's World Cup
Rodrigo Salinas,RB,70,Toluca,Mexico,66,65,67,https://www.futbin.com/22/player/2075/rodrigo-salinas,FIFA Men's World Cup
Diego de Buen,CDM,70,Puebla,Mexico,65,61,69,https://www.futbin.com/22/player/2254/diego-de-buen,FIFA Men's World Cup
Antonio Ríos,CDM,70,Toluca,Mexico,67,67,67,https://www.futbin.com/22/player/2284/antonio-rios,FIFA Men's World Cup
Jesús Isijara,RM,70,Santos Laguna,Mexico,47,54,39,https://www.futbin.com/22/player/2344/jesus-isijara,FIFA Men's World Cup
José Antonio Rodríguez,GK,70,Guadalajara,Mexico,13,16,15,https://www.futbin.com/22/player/2390/jose-antonio-rodriguez,FIFA Men's World Cup
Luis Mendoza,RM,70,Cruz Azul,Mexico,41,26,58,https://www.futbin.com/22/player/2857/luis-mendoza,FIFA Men's World Cup
José Juan Vázquez,CM,70,Toluca,Mexico,69,67,73,https://www.futbin.com/22/player/4225/jose-juan-vazquez,FIFA Men's World Cup
Luis Quintana,CB,70,Necaxa,Mexico,70,69,70,https://www.futbin.com/22/player/4360/luis-quintana,FIFA Men's World Cup
Jaime Gómez,RB,70,FC Juárez,Mexico,64,62,63,https://www.futbin.com/22/player/4601/jaime-gomez,FIFA Men's World Cup
Esteban Pavez,CM,70,Tijuana,Chile,67,67,66,https://www.futbin.com/22/player/4949/esteban-pavez,FIFA Men's World Cup
Matías Catalán,RB,70,Pachuca,Argentina,64,64,60,https://www.futbin.com/22/player/5038/matias-catalan,FIFA Men's World Cup
Luis Cárdenas,GK,70,Rayados,Mexico,22,24,26,https://www.futbin.com/22/player/5226/luis-cardenas,FIFA Men's World Cup
Gibrán Lajud,GK,70,Santos Laguna,Mexico,17,21,18,https://www.futbin.com/22/player/5374/gibran-lajud,FIFA Men's World Cup
Clifford Aboagye,CM,70,Puebla,Ghana,52,54,56,https://www.futbin.com/22/player/5544/clifford-aboagye,FIFA Men's World Cup
Yairo Moreno,LB,70,Pachuca,Colombia,65,70,64,https://www.futbin.com/22/player/5786/yairo-moreno,FIFA Men's World Cup
David Ramírez,RB,70,León,Mexico,64,65,59,https://www.futbin.com/22/player/5862/david-ramirez,FIFA Men's World Cup
Ulises Rivas,CM,70,Santos Laguna,Mexico,65,55,75,https://www.futbin.com/22/player/6347/ulises-rivas,FIFA Men's World Cup
Ygor Nogueira de Paula,CB,70,Mazatlán FC,Brazil,70,68,69,https://www.futbin.com/22/player/6510/ygor-nogueira-de-paula,FIFA Men's World Cup
Kevin Balanta,CM,70,Querétaro,Colombia,68,70,69,https://www.futbin.com/22/player/6529/kevin-balanta,FIFA Men's World Cup
Santiago Mosquera,LM,70,Pachuca,Colombia,26,32,16,https://www.futbin.com/22/player/7669/santiago-mosquera,FIFA Men's World Cup
Luis Malagón,GK,70,Necaxa,Mexico,13,15,13,https://www.futbin.com/22/player/7787/luis-malagon,FIFA Men's World Cup
Christian Rivera,CDM,70,Tijuana,Colombia,67,68,69,https://www.futbin.com/22/player/7909/christian-rivera,FIFA Men's World Cup
Cristian Calderón,LB,70,Guadalajara,Mexico,64,64,61,https://www.futbin.com/22/player/8096/cristian-calderon,FIFA Men's World Cup
Luis Reyes,LB,70,Atlas,Mexico,66,66,65,https://www.futbin.com/22/player/8214/luis-reyes,FIFA Men's World Cup
Andrés Iniestra,CM,70,FC Juárez,Mexico,67,65,72,https://www.futbin.com/22/player/8341/andres-iniestra,FIFA Men's World Cup
Maximiliano Olivera,LB,70,FC Juárez,Uruguay,68,68,66,https://www.futbin.com/22/player/8589/maximiliano-olivera,FIFA Men's World Cup
Jonathan González,CM,70,Necaxa,Mexico,70,72,72,https://www.futbin.com/22/player/9304/jonathan-gonzalez,FIFA Men's World Cup
Fernando Beltrán,CDM,70,Guadalajara,Mexico,65,67,67,https://www.futbin.com/22/player/9431/fernando-beltran,FIFA Men's World Cup
Michael Estrada,ST,70,Toluca,Ecuador,24,14,16,https://www.futbin.com/22/player/9664/michael-estrada,FIFA Men's World Cup
Ayrton Preciado,LM,70,Santos Laguna,Ecuador,32,31,37,https://www.futbin.com/22/player/9777/ayrton-preciado,FIFA Men's World Cup
Ismael Govea,RB,70,Santos Laguna,Mexico,66,64,64,https://www.futbin.com/22/player/10174/ismael-govea,FIFA Men's World Cup
Maximiliano Salas,ST,70,Necaxa,Argentina,27,40,16,https://www.futbin.com/22/player/10526/maximiliano-salas,FIFA Men's World Cup
Vladimir Loroña,RB,70,Tijuana,Mexico,66,65,62,https://www.futbin.com/22/player/10720/vladimir-lorona,FIFA Men's World Cup
Bryan Angulo,ST,70,Cruz Azul,Ecuador,20,11,16,https://www.futbin.com/22/player/11053/bryan-angulo,FIFA Men's World Cup
Adam Bareiro,ST,70,Atlético de San Luis,Paraguay,22,21,13,https://www.futbin.com/22/player/11117/adam-bareiro,FIFA Men's World Cup
Gustavo Velázquez,CB,70,FC Juárez,Paraguay,70,70,75,https://www.futbin.com/22/player/11120/gustavo-velazquez,FIFA Men's World Cup
Eduardo Aguirre,ST,70,Santos Laguna,Mexico,31,26,28,https://www.futbin.com/22/player/11137/eduardo-aguirre,FIFA Men's World Cup
Juan Pablo Segovia,CB,70,Puebla,Argentina,70,68,71,https://www.futbin.com/22/player/11252/juan-pablo-segovia,FIFA Men's World Cup
Pablo Parra,CAM,70,Puebla,Chile,36,31,42,https://www.futbin.com/22/player/17797/pablo-parra,FIFA Men's World Cup
José Juan Vázquez,CM,70,Tijuana,Mexico,69,67,73,https://www.futbin.com/22/player/22729/jose-juan-vazquez,FIFA Men's World Cup
Enzo Martínez,CB,70,Querétaro,Uruguay,71,70,76,https://www.futbin.com/22/player/22800/enzo-martinez,FIFA Men's World Cup
Jonathan González,CM,70,Querétaro,Mexico,70,72,72,https://www.futbin.com/22/player/22801/jonathan-gonzalez,FIFA Men's World Cup
Andrés Iniestra,CM,70,Atlético de San Luis,Mexico,67,65,72,https://www.futbin.com/22/player/22818/andres-iniestra,FIFA Men's World Cup
Jesús Trindade,CDM,70,Pachuca,Uruguay,68,75,70,https://www.futbin.com/22/player/23629/jesus-trindade,FIFA Men's World Cup
José Antonio Rodríguez,GK,70,Querétaro,Mexico,13,16,15,https://www.futbin.com/22/player/23764/jose-antonio-rodriguez,FIFA Men's World Cup
Valber Huerta,CB,70,Toluca,Chile,71,71,70,https://www.futbin.com/22/player/24315/valber-huerta,FIFA Men's World Cup
Efraín Velarde,LB,69,Pumas,Mexico,67,68,66,https://www.futbin.com/22/player/658/efrain-velarde,FIFA Men's World Cup
Cristian Battocchio,CM,69,Pumas,Italy,57,60,57,https://www.futbin.com/22/player/660/cristian-battocchio,FIFA Men's World Cup
Carlos Gutiérrez,RM,69,Pumas,Mexico,43,48,34,https://www.futbin.com/22/player/665/carlos-gutierrez,FIFA Men's World Cup
Erik Lira,CM,69,Pumas,Mexico,60,51,64,https://www.futbin.com/22/player/666/erik-lira,FIFA Men's World Cup
David Cabrera,CDM,69,Querétaro,Mexico,62,63,72,https://www.futbin.com/22/player/1631/david-cabrera,FIFA Men's World Cup
Alfonso Blanco,GK,69,León,Mexico,14,15,12,https://www.futbin.com/22/player/1804/alfonso-blanco,FIFA Men's World Cup
Alfredo Saldívar,GK,69,Toluca,Mexico,18,23,25,https://www.futbin.com/22/player/2012/alfredo-saldivar,FIFA Men's World Cup
Alonso Escoboza,LB,69,Necaxa,Mexico,61,59,59,https://www.futbin.com/22/player/3661/alonso-escoboza,FIFA Men's World Cup
Miguel Herrera,CB,69,Pachuca,Mexico,69,68,64,https://www.futbin.com/22/player/4245/miguel-herrera,FIFA Men's World Cup
Luis Manuel García,GK,69,Toluca,Mexico,18,14,30,https://www.futbin.com/22/player/4422/luis-manuel-garcia,FIFA Men's World Cup
Pol García Tena,CB,69,FC Juárez,Spain,70,68,70,https://www.futbin.com/22/player/4475/pol-garcia-tena,FIFA Men's World Cup
Carlos Cisneros,LM,69,Guadalajara,Mexico,45,54,42,https://www.futbin.com/22/player/4677/carlos-cisneros,FIFA Men's World Cup
Gael Sandoval,LM,69,Mazatlán FC,Mexico,54,56,55,https://www.futbin.com/22/player/5341/gael-sandoval,FIFA Men's World Cup
Bryan Carvallo,LM,69,Necaxa,Chile,26,27,30,https://www.futbin.com/22/player/5866/bryan-carvallo,FIFA Men's World Cup
Luis Chávez,CM,69,Pachuca,Mexico,62,64,63,https://www.futbin.com/22/player/5932/luis-chavez,FIFA Men's World Cup
Rodrigo Aguirre,ST,69,Necaxa,Uruguay,23,18,16,https://www.futbin.com/22/player/6272/rodrigo-aguirre,FIFA Men's World Cup
Osvaldo Rodríguez,LB,69,León,Mexico,67,71,60,https://www.futbin.com/22/player/7272/osvaldo-rodriguez,FIFA Men's World Cup
Brayan Garnica,RM,69,Atlas,Mexico,33,33,32,https://www.futbin.com/22/player/7459/brayan-garnica,FIFA Men's World Cup
Santiago Colombatto,CM,69,León,Argentina,60,59,64,https://www.futbin.com/22/player/7821/santiago-colombatto,FIFA Men's World Cup
Gonzalo Maroni,CAM,69,Atlas,Argentina,43,53,30,https://www.futbin.com/22/player/8122/gonzalo-maroni,FIFA Men's World Cup
Francisco Venegas,LB,69,Tigres,Mexico,67,69,68,https://www.futbin.com/22/player/8428/francisco-venegas,FIFA Men's World Cup
Anderson Santamaría,CB,69,Atlas,Peru,71,71,71,https://www.futbin.com/22/player/8557/anderson-santamaria,FIFA Men's World Cup
Romario Ibarra,RM,69,Pachuca,Ecuador,36,39,26,https://www.futbin.com/22/player/9804/romario-ibarra,FIFA Men's World Cup
Santiago Giménez,ST,69,Cruz Azul,Mexico,37,29,31,https://www.futbin.com/22/player/10772/santiago-gimenez,FIFA Men's World Cup
Gilberto Sepúlveda,CB,69,Guadalajara,Mexico,69,70,70,https://www.futbin.com/22/player/12334/gilberto-sepulveda,FIFA Men's World Cup
Agustín Oliveros,LB,69,Necaxa,Uruguay,68,74,68,https://www.futbin.com/22/player/13024/agustin-oliveros,FIFA Men's World Cup
Santiago Naveda,CM,69,América,Mexico,68,65,67,https://www.futbin.com/22/player/13416/santiago-naveda,FIFA Men's World Cup
Jorge Zárate,LM,69,Mazatlán FC,Mexico,51,48,47,https://www.futbin.com/22/player/17596/jorge-zarate,FIFA Men's World Cup
Erik Lira,CM,69,Cruz Azul,Mexico,60,51,64,https://www.futbin.com/22/player/22705/erik-lira,FIFA Men's World Cup
Ventura Alvarado,CB,69,FC Juárez,United States,70,68,68,https://www.futbin.com/22/player/22752/ventura-alvarado,FIFA Men's World Cup
Gael Sandoval,LM,69,Guadalajara,Mexico,54,56,55,https://www.futbin.com/22/player/23198/gael-sandoval,FIFA Men's World Cup
Oswaldo Alanís,CB,69,Mazatlán FC,Mexico,70,70,70,https://www.futbin.com/22/player/23679/oswaldo-alanis,FIFA Men's World Cup
Jesús Zavala,CB,68,Mazatlán FC,Mexico,66,64,62,https://www.futbin.com/22/player/1543/jesus-zavala,FIFA Men's World Cup
Emilio Orrantía,RB,68,Santos Laguna,Mexico,60,61,61,https://www.futbin.com/22/player/2392/emilio-orrantia,FIFA Men's World Cup
Giovanni Oliveira Cardoso,LM,68,Mazatlán FC,Brazil,44,50,40,https://www.futbin.com/22/player/2781/giovanni,FIFA Men's World Cup
Amaury Escoto,ST,68,Puebla,Mexico,29,19,44,https://www.futbin.com/22/player/3475/amaury-escoto,FIFA Men's World Cup
Luis Pavez,LB,68,FC Juárez,Chile,61,68,53,https://www.futbin.com/22/player/4947/luis-pavez,FIFA Men's World Cup
Ángel Zaldívar,ST,68,Guadalajara,Mexico,43,38,35,https://www.futbin.com/22/player/5004/angel-zaldivar,FIFA Men's World Cup
Ignacio Jeraldino,ST,68,Santos Laguna,Chile,27,32,18,https://www.futbin.com/22/player/6488/ignacio-jeraldino,FIFA Men's World Cup
Víctor Dávila,ST,68,León,Chile,30,28,25,https://www.futbin.com/22/player/6522/victor-davila,FIFA Men's World Cup
Fernando Madrigal,CDM,68,América,Mexico,65,67,70,https://www.futbin.com/22/player/7203/fernando-madrigal,FIFA Men's World Cup
Ricardo Chávez,RB,68,Atlético de San Luis,Mexico,64,65,66,https://www.futbin.com/22/player/7273/ricardo-chavez,FIFA Men's World Cup
Julian Quiñones,RM,68,Atlas,Colombia,25,25,21,https://www.futbin.com/22/player/8215/julian-quinones,FIFA Men's World Cup
Sebastián Jurado,GK,68,Cruz Azul,Mexico,13,19,10,https://www.futbin.com/22/player/8342/sebastian-jurado,FIFA Men's World Cup
Edgar Zaldívar,CDM,68,Atlas,Mexico,65,65,60,https://www.futbin.com/22/player/8963/edgar-zaldivar,FIFA Men's World Cup
Ramiro González,CB,68,León,Argentina,68,72,58,https://www.futbin.com/22/player/9338/ramiro-gonzalez,FIFA Men's World Cup
Jesús Angulo,LB,68,Atlas,Mexico,66,65,60,https://www.futbin.com/22/player/9382/jesus-angulo,FIFA Men's World Cup
Eduardo Tercero,CB,68,Tijuana,Mexico,69,69,69,https://www.futbin.com/22/player/9407/eduardo-tercero,FIFA Men's World Cup
Gonzalo Freitas,CDM,68,Mazatlán FC,Uruguay,68,66,65,https://www.futbin.com/22/player/9697/gonzalo-freitas,FIFA Men's World Cup
Eryc Castillo,RM,68,Tijuana,Ecuador,33,21,32,https://www.futbin.com/22/player/10593/eryc-castillo,FIFA Men's World Cup
Santiago Ormeño,ST,68,León,Peru,29,19,20,https://www.futbin.com/22/player/10634/santiago-ormeno,FIFA Men's World Cup
Felix Torres,CB,68,Santos Laguna,Ecuador,68,70,64,https://www.futbin.com/22/player/12017/felix-torres,FIFA Men's World Cup
Kevin Álvarez,RB,68,Pachuca,Mexico,63,64,63,https://www.futbin.com/22/player/12239/kevin-alvarez,FIFA Men's World Cup
Leonardo Henriques Coelho,CB,68,Atlético de San Luis,Brazil,70,67,72,https://www.futbin.com/22/player/12321/leo-coelho,FIFA Men's World Cup
Washington Aguerre,GK,68,Querétaro,Uruguay,14,15,17,https://www.futbin.com/22/player/12451/washington-aguerre,FIFA Men's World Cup
José Rogério de Oliveira Melo,ST,68,Pumas,Brazil,26,30,18,https://www.futbin.com/22/player/19531/rogerio,FIFA Men's World Cup
Jesús Angulo,LB,68,Tigres,Mexico,66,65,60,https://www.futbin.com/22/player/22688/jesus-angulo,FIFA Men's World Cup
Geisson Perea,CB,68,Pachuca,Colombia,67,65,67,https://www.futbin.com/22/player/23631/geisson-perea,FIFA Men's World Cup
Fernando Madrigal,CDM,68,Necaxa,Mexico,65,67,70,https://www.futbin.com/22/player/23748/fernando-madrigal,FIFA Men's World Cup
Daniel Cervantes,CB,67,Querétaro,Mexico,71,75,68,https://www.futbin.com/22/player/1993/daniel-cervantes,FIFA Men's World Cup
Diego Reyes,CB,67,Tigres,Mexico,69,69,68,https://www.futbin.com/22/player/2391/diego-reyes,FIFA Men's World Cup
José Antonio Madueña,RB,67,FC Juárez,Mexico,61,59,61,https://www.futbin.com/22/player/2882/jose-antonio-maduena,FIFA Men's World Cup
Hedgardo Marín,CB,67,FC Juárez,Mexico,67,61,66,https://www.futbin.com/22/player/4678/hedgardo-marin,FIFA Men's World Cup
Leonel López,CDM,67,Pumas,Mexico,63,61,66,https://www.futbin.com/22/player/5993/leonel-lopez,FIFA Men's World Cup
Gustavo H. Ferrareis,CAM,67,Puebla,Brazil,46,39,47,https://www.futbin.com/22/player/6679/gustavo-h-ferrareis,FIFA Men's World Cup
Alejandro Zendejas,LM,67,Necaxa,Mexico,40,37,40,https://www.futbin.com/22/player/6743/alejandro-zendejas,FIFA Men's World Cup
Alessio Da Cruz,ST,67,Santos Laguna,Netherlands,36,43,24,https://www.futbin.com/22/player/7338/alessio-da-cruz,FIFA Men's World Cup
Erick Sánchez,CM,67,Pachuca,Mexico,64,68,64,https://www.futbin.com/22/player/8429/erick-sanchez,FIFA Men's World Cup
Yonatthan Rak,CB,67,Tijuana,Uruguay,67,66,60,https://www.futbin.com/22/player/8461/yonatthan-rak,FIFA Men's World Cup
Misael Domínguez,CAM,67,Tijuana,Mexico,38,40,23,https://www.futbin.com/22/player/8464/misael-dominguez,FIFA Men's World Cup
Jairo Torres,LM,67,Atlas,Mexico,34,30,16,https://www.futbin.com/22/player/8718/jairo-torres,FIFA Men's World Cup
Alan Medina,CM,67,Necaxa,Mexico,59,56,61,https://www.futbin.com/22/player/9352/alan-medina,FIFA Men's World Cup
Roberto de la Rosa,ST,67,Pachuca,Mexico,18,13,11,https://www.futbin.com/22/player/9661/roberto-de-la-rosa,FIFA Men's World Cup
Ulises Cardona,LM,67,Mazatlán FC,Mexico,54,55,45,https://www.futbin.com/22/player/9822/ulises-cardona,FIFA Men's World Cup
Adrián Mora,CB,67,FC Juárez,Mexico,67,68,65,https://www.futbin.com/22/player/10052/adrian-mora,FIFA Men's World Cup
Kevin Castañeda,LM,67,Toluca,Mexico,32,34,26,https://www.futbin.com/22/player/10709/kevin-castaneda,FIFA Men's World Cup
Raymundo Fulgencio,RM,67,Tigres,Mexico,52,51,47,https://www.futbin.com/22/player/12263/raymundo-fulgencio,FIFA Men's World Cup
